,p,q,P,Q,AIC,BIC,AICc
1,0,0,0,0,-6.30390540047525,-6.0415801860255,-3.92430200104182
2,0,0,0,1,-6.30390540047525,-6.0415801860255,-3.92430200104182
3,0,0,0,2,-6.30390540047525,-6.0415801860255,-3.92430200104182
4,0,0,0,3,-5.64392794204405,-5.56741642116288,-5.57906307717919
5,0,0,0,4,-5.63783855799993,-5.55039681985001,-5.52943747398909
6,0,0,0,5,-5.63272914939006,-5.5343571939714,-5.46968567112919
7,0,0,1,0,-5.68216509014505,-5.62751400380135,-5.671412401973
8,0,0,1,1,-5.71561256923167,-5.65003126561924,-5.68326755575458
9,0,0,1,2,-5.70945086249233,-5.63293934161115,-5.64458599762747
10,0,0,1,3,-5.69786474870463,-5.61042301055472,-5.58946366469379
11,0,0,1,4,-5.6902112684905,-5.59183931307184,-5.52716779022963
12,0,0,1,5,-5.68613030440737,-5.57682813171997,-5.4572474706199
13,0,0,2,0,-5.69173786356776,-5.62615655995533,-5.65939285009067
14,0,0,2,1,-5.70791455737119,-5.63140303649001,-5.64304969250632
15,0,0,2,2,-5.70380117672035,-5.61635943857043,-5.59540009270951
16,0,0,2,3,-5.69400344104226,-5.59563148562361,-5.53095996278139
17,0,0,2,4,-5.69170445915788,-5.58240228647049,-5.46282162537041
18,0,0,2,5,-5.68439958836925,-5.56416719841311,-5.3783886594075
19,0,0,3,0,-5.67928027740378,-5.6027687565226,-5.61441541253891
20,0,0,3,1,-5.69325490421319,-5.60581316606328,-5.58485382020235
21,0,0,3,2,-5.68927309161722,-5.59090113619856,-5.52622961335635
22,0,0,3,3,-5.6883537283409,-5.5790515556535,-5.45947089455343
23,0,0,3,4,-5.68605474052108,-5.56582235056494,-5.38004381155933
24,0,0,3,5,-5.67874988939025,-5.54758728216538,-5.28422934144505
25,0,0,4,0,-5.68301246901508,-5.59557073086516,-5.57461138500424
26,0,0,4,1,-5.68496415378123,-5.58659219836257,-5.52192067552036
27,0,0,4,2,-5.68276539554175,-5.57346322285435,-5.45388256175428
28,0,0,4,3,-5.68096504705863,-5.5607326571025,-5.37495411809688
29,0,0,4,4,-5.68187429940111,-5.55071169217623,-5.2873537514559
30,0,0,4,5,-5.67547213815861,-5.53337931366499,-5.18096664365311
31,0,0,5,0,-5.68514246020439,-5.58677050478574,-5.52209898194352
32,0,0,5,1,-5.68001403957629,-5.5707118668889,-5.45113120578883
33,0,0,5,2,-5.67523180753897,-5.55499941758283,-5.36922087857722
34,0,0,5,3,-5.67454050605579,-5.54337789883092,-5.28001995811059
35,0,0,5,4,-5.67420471010884,-5.53211188561523,-5.17969921560335
36,0,0,5,5,-5.66855499178256,-5.5155319500202,-5.06249438572195
37,0,1,0,0,-5.66855499178256,-5.5155319500202,-5.06249438572195
38,0,1,0,1,-5.6506197921546,-5.58503848854217,-5.61827477867751
39,0,1,0,2,-5.6506197921546,-5.58503848854217,-5.61827477867751
40,0,1,0,3,-5.64144304148469,-5.55400130333478,-5.53304195747385
41,0,1,0,4,-5.63585912923073,-5.53748717381208,-5.47281565096986
42,0,1,0,5,-5.63033683846515,-5.52103466577776,-5.40145400467769
43,0,1,1,0,-5.68134407777874,-5.61576277416631,-5.64899906430165
44,0,1,1,1,-5.71271949797415,-5.63620797709297,-5.64785463310928
45,0,1,1,2,-5.70693550147301,-5.6194937633231,-5.59853441746217
46,0,1,1,3,-5.696994604847,-5.59862264942834,-5.53395112658613
47,0,1,1,4,-5.68992575126489,-5.58062357857749,-5.46104291747742
48,0,1,1,5,-5.68560544013477,-5.56537305017864,-5.37959451117302
49,0,1,2,0,-5.68997203053908,-5.6134605096579,-5.62510716567421
50,0,1,2,1,-5.70502431079718,-5.61758257264726,-5.59662322678634
51,0,1,2,2,-5.70128578218482,-5.60291382676616,-5.53824230392395
52,0,1,2,3,-5.69268796184033,-5.58338578915293,-5.46380512805286
53,0,1,2,4,-5.68984781768936,-5.56961542773323,-5.38383688872761
54,0,1,2,5,-5.68319206625451,-5.55202945902964,-5.28867151830931
55,0,1,3,0,-5.67909608288282,-5.5916543447329,-5.57069499887198
56,0,1,3,1,-5.69082076354316,-5.5924488081245,-5.52777728528229
57,0,1,3,2,-5.68672224738281,-5.57742007469541,-5.45783941359534
58,0,1,3,3,-5.68703823018597,-5.56680584022984,-5.38102730122422
59,0,1,3,4,-5.68419807996647,-5.5530354727416,-5.28967753202126
60,0,1,3,5,-5.67754236622933,-5.53544954173572,-5.18303687172384
61,0,1,4,0,-5.68351758232416,-5.58514562690551,-5.52047410406329
62,0,1,4,1,-5.68335342372994,-5.57405125104255,-5.45447058994248
63,0,1,4,2,-5.67832182573617,-5.55808943578004,-5.37231089677442
64,0,1,4,3,-5.67970595823557,-5.54854335101069,-5.28518541029036
65,0,1,4,4,-5.67970591777124,-5.53761309327763,-5.18520042326575
66,0,1,4,5,-5.6726278897491,-5.51960484798675,-5.06656728368849
67,0,1,5,0,-5.68581075409008,-5.57650858140268,-5.45692792030261
68,0,1,5,1,-5.67774763375591,-5.55751524379977,-5.37173670479416
69,0,1,5,2,-5.67342893781561,-5.54226633059074,-5.27890838987041
70,0,1,5,3,-5.67376299953299,-5.53167017503938,-5.17925750502749
71,0,1,5,4,-5.67262791593788,-5.51960487417553,-5.06656730987728
72,0,1,5,5,-5.66697819718637,-5.50302493815528,-4.93769642923057
73,0,2,0,0,-5.66697819718637,-5.50302493815528,-4.93769642923057
74,0,2,0,1,-5.65624985629172,-5.57973833541055,-5.59138499142686
75,0,2,0,2,-5.64946547677812,-5.5620237386282,-5.54106439276728
76,0,2,0,3,-5.64498851587823,-5.54661656045957,-5.48194503761736
77,0,2,0,4,-5.63937842727449,-5.53007625458709,-5.41049559348702
78,0,2,0,5,-5.63378472022057,-5.51355233026443,-5.32777379125882
79,0,2,1,0,-5.68175501301668,-5.6052434921355,-5.61689014815181
80,0,2,1,1,-5.71333388193688,-5.62589214378696,-5.60493279792604
81,0,2,1,2,-5.71012145327629,-5.61174949785763,-5.54707797501542
82,0,2,1,3,-5.70042100007895,-5.59111882739156,-5.47153816629149
83,0,2,1,4,-5.69295039045964,-5.5727180005035,-5.38693946149789
84,0,2,1,5,-5.68892764520237,-5.5577650379775,-5.29440709725717
85,0,2,2,0,-5.68864706348572,-5.6012053253358,-5.58024597947488
86,0,2,2,1,-5.70768411682733,-5.60931216140867,-5.54464063856646
87,0,2,2,2,-5.70447166579429,-5.59516949310689,-5.47558883200682
88,0,2,2,3,-5.69524388418119,-5.57501149422506,-5.38923295521944
89,0,2,2,4,-5.69135733515319,-5.56019472792832,-5.29683678720798
90,0,2,2,5,-5.68507125403011,-5.54297842953649,-5.19056575952461
91,0,2,3,0,-5.67660377408286,-5.5782318186642,-5.51356029582199
92,0,2,3,1,-5.69347432687464,-5.58417215418725,-5.46459149308718
93,0,2,3,2,-5.68933856862729,-5.56910617867116,-5.38332763966554
94,0,2,3,3,-5.68959416253982,-5.55843155531494,-5.29507361459461
95,0,2,3,4,-5.68570760550638,-5.54361478101277,-5.19120211100089
96,0,2,3,5,-5.67942153340548,-5.52639849164313,-5.07336092734487
97,0,2,4,0,-5.68694143714987,-5.57763926446248,-5.4580586033624
98,0,2,4,1,-5.68708934627673,-5.56685695632059,-5.38107841731498
99,0,2,4,2,-5.6834151317345,-5.55225252450963,-5.2888945837893
100,0,2,4,3,-5.68347732517607,-5.54138450068245,-5.18897183067057
101,0,2,4,4,-5.68285305561365,-5.5298300138513,-5.07679244955305
102,0,2,4,5,-5.67676553351161,-5.51281227448052,-4.94748376555581
103,0,2,5,0,-5.68732771876358,-5.56709532880745,-5.38131678980183
104,0,2,5,1,-5.68171502499581,-5.55055241777094,-5.2871944770506
105,0,2,5,2,-5.67808124452271,-5.53598842002909,-5.18357575001721
106,0,2,5,3,-5.67830415346498,-5.52528111170263,-5.07224354740437
107,0,2,5,4,-5.67609575352891,-5.51214249449781,-4.9468139855731
108,0,2,5,5,-5.6744496852592,-5.49956620895937,-4.81018375728136
109,0,3,0,0,-5.6744496852592,-5.49956620895937,-4.81018375728136
110,0,3,0,1,-5.65077973063465,-5.56333799248474,-5.54237864662381
111,0,3,0,2,-5.64515167467916,-5.54677971926051,-5.48210819641829
112,0,3,0,3,-5.6394209985071,-5.53011882581971,-5.41053816471964
113,0,3,0,4,-5.63376325269225,-5.51353086273612,-5.32775232373051
114,0,3,0,5,-5.62819611245623,-5.49703350523135,-5.23367556451102
115,0,3,1,0,-5.62819611245623,-5.49703350523135,-5.23367556451102
116,0,3,1,1,-5.69926406222011,-5.60089210680145,-5.53622058395924
117,0,3,1,2,-5.69479580871113,-5.58549363602373,-5.46591297492366
118,0,3,1,3,-5.69483515347623,-5.5746027635201,-5.38882422451448
119,0,3,1,4,-5.68731617092209,-5.55615356369721,-5.29279562297688
120,0,3,1,5,-5.68328634481373,-5.54119352032012,-5.18878085030823
121,0,3,2,0,-5.67536701411692,-5.57699505869827,-5.51232353585605
122,0,3,2,1,-5.69361425863494,-5.58431208594755,-5.46473142484747
123,0,3,2,2,-5.68945116204477,-5.56921877208864,-5.38344023308302
124,0,3,2,3,-5.68968888595246,-5.55852627872758,-5.29516833800725
125,0,3,2,4,-5.68573690792004,-5.54364408342643,-5.19123141341455
126,0,3,2,5,-5.67942982486744,-5.52640678310509,-5.07336921880684
127,0,3,3,0,-5.67124452745256,-5.56194235476516,-5.44236169366509
128,0,3,3,1,-5.68796449333635,-5.56773210338022,-5.3819535643746
129,0,3,3,2,-5.68380144386474,-5.55263883663987,-5.28928089591954
130,0,3,3,3,-5.68403916193826,-5.54194633744465,-5.18953366743277
131,0,3,3,4,-5.68008720118238,-5.52706415942003,-5.07402659512177
132,0,3,3,5,-5.67378010614981,-5.50982684711871,-4.944498338194
133,0,3,4,0,-5.68146040202019,-5.56122801206405,-5.37544947305844
134,0,3,4,1,-5.68153826984172,-5.55037566261685,-5.28701772189651
135,0,3,4,2,-5.67784990336068,-5.53575707886707,-5.18334440885518
136,0,3,4,3,-5.67787190304157,-5.52484886127921,-5.07181129698096
137,0,3,4,4,-5.67726046997975,-5.51330721094866,-4.94797870202395
138,0,3,4,5,-5.67120538554991,-5.49632190925008,-4.80693945757207
139,0,3,5,0,-5.68167877530639,-5.55051616808151,-5.28715822736118
140,0,3,5,1,-5.67616847981337,-5.53407565531976,-5.18166298530788
141,0,3,5,2,-5.67251786393598,-5.51949482217363,-5.06645725787537
142,0,3,5,3,-5.67267754109455,-5.50872428206346,-4.94339577313875
143,0,3,5,4,-5.67046739656091,-5.49558392026108,-4.80620146858307
144,0,3,5,5,-5.66882990614937,-5.4830162125808,-4.65771879503826
145,0,4,0,0,-5.66882990614937,-5.4830162125808,-4.65771879503826
146,0,4,0,1,-5.66882990614937,-5.4830162125808,-4.65771879503826
147,0,4,0,2,-5.63958673727611,-5.53028456458872,-5.41070390348865
148,0,4,0,3,-5.63390989631722,-5.51367750636109,-5.32789896735547
149,0,4,0,4,-5.62825453293904,-5.49709192571417,-5.23373398499384
150,0,4,0,5,-5.62271181654862,-5.48061899205501,-5.12820632204313
151,0,4,1,0,-5.66347466798328,-5.56510271256462,-5.50043118972241
152,0,4,1,1,-5.69010174382658,-5.58079957113919,-5.46121891003912
153,0,4,1,2,-5.68587530042261,-5.56564291046648,-5.37986437146087
154,0,4,1,3,-5.68674360798609,-5.55558100076121,-5.29222306004088
155,0,4,1,4,-5.68166948281039,-5.53957665831678,-5.1871639883049
156,0,4,1,5,-5.67763760079475,-5.5246145590324,-5.07157699473414
157,0,4,2,0,-5.67157720577867,-5.56227503309127,-5.4426943719912
158,0,4,2,1,-5.68445191330993,-5.5642195233538,-5.37844098434818
159,0,4,2,2,-5.68370797815233,-5.55254537092746,-5.28918743020713
160,0,4,2,3,-5.68193751291509,-5.53984468842147,-5.18743201840959
161,0,4,2,4,-5.68009018204754,-5.52706714028519,-5.07402957598693
162,0,4,2,5,-5.67378233898548,-5.50982907995439,-4.94450057102968
163,0,4,3,0,-5.66728884264753,-5.54705645269139,-5.36127791368578
164,0,4,3,1,-5.67894270241848,-5.5477800951936,-5.28442215447327
165,0,4,3,2,-5.67805823534768,-5.53596541085406,-5.18355274084218
166,0,4,3,3,-5.67628779676848,-5.52326475500613,-5.07022719070787
167,0,4,3,4,-5.67444043837684,-5.51048717934574,-4.94515867042104
168,0,4,3,5,-5.66813262414368,-5.49324914784384,-4.80386669616584
169,0,4,4,0,-5.67581758795237,-5.5446549807275,-5.28129704000716
170,0,4,4,1,-5.67592737547285,-5.53383455097924,-5.18142188096736
171,0,4,4,2,-5.67224084246156,-5.51921780069921,-5.06618023640095
172,0,4,4,3,-5.67222314773827,-5.50826988870717,-4.94294137978246
173,0,4,4,4,-5.67161168463049,-5.49672820833065,-4.80734575665265
174,0,4,4,5,-5.66670456287376,-5.48089086930519,-4.65559345176265
175,0,4,5,0,-5.67607284470595,-5.53398002021234,-5.18156735020046
176,0,4,5,1,-5.67055050688354,-5.51752746512119,-5.06448990082294
177,0,4,5,2,-5.6669060831167,-5.50295282408561,-4.9376243151609
178,0,4,5,3,-5.6670281524279,-5.49214467612807,-4.80276222445006
179,0,4,5,4,-5.66483352442294,-5.47901983085437,-4.65372241331183
180,0,4,5,5,-5.66318047541442,-5.46643656457711,-4.49326404087403
181,0,5,0,0,-5.66318047541442,-5.46643656457711,-4.49326404087403
