,p,q,P,Q,AIC,BIC,AICc
1,,,,,,,
2,0,0,0,1,-6.05421644971397,-5.99956536337027,-6.04346376154193
3,0,0,0,2,-6.04880967185631,-5.98322836824387,-6.01646465837922
4,0,0,0,3,-6.04345355270905,-5.96694203182787,-5.97858868784418
5,0,0,0,4,-6.0379472438371,-5.95050550568719,-5.92954615982626
6,0,0,0,5,-6.03253199624356,-5.93416004082491,-5.86948851798269
7,0,0,1,0,-6.06575496892946,-6.01110388258576,-6.05500228075742
8,0,0,1,1,-6.19045433766547,-6.12487303405304,-6.15810932418839
9,0,0,1,2,-6.18329357543541,-6.10678205455423,-6.11842871057054
10,0,0,1,3,-6.15670430979937,-6.06926257164945,-6.04830322578853
11,0,0,1,4,-6.14623788256117,-6.04786592714251,-5.9831944043003
12,0,0,1,5,-6.1482518355238,-6.03894966283641,-5.91936900173634
13,0,0,2,0,-6.12766978770326,-6.06208848409083,-6.09532477422617
14,0,0,2,1,-6.1811691332398,-6.10465761235862,-6.11630426837493
15,0,0,2,2,-6.17764383498986,-6.09020209683995,-6.06924275097902
16,0,0,2,3,-6.15411442208412,-6.05574246666546,-5.99107094382325
17,0,0,2,4,-6.1500799842419,-6.0407778115545,-5.92119715045443
18,0,0,2,5,-6.1435806509116,-6.02334826095547,-5.83756972194985
19,0,0,3,0,-6.11536834948843,-6.03885682860725,-6.05050348462356
20,0,0,3,1,-6.1560085582872,-6.06856682013728,-6.04760747427636
21,0,0,3,2,-6.15287133489303,-6.05449937947437,-5.98982785663216
22,0,0,3,3,-6.14984516899368,-6.04054299630628,-5.92096233520621
23,0,0,3,4,-6.14597376694535,-6.02574137698922,-5.83996283798361
24,0,0,3,5,-6.14084534721681,-6.00968273999194,-5.7463247992716
25,0,0,4,0,-6.13515015528524,-6.04770841713532,-6.0267490712744
26,0,0,4,1,-6.14605833881141,-6.04768638339276,-5.98301486055054
27,0,0,4,2,-6.14254042673757,-6.03323825405017,-5.9136575929501
28,0,0,4,3,-6.14867382542077,-6.02844143546464,-5.84266289645902
29,0,0,4,4,-6.14504582023877,-6.0138832130139,-5.75052527229357
30,0,0,4,5,-6.13923361636634,-5.99714079187273,-5.64472812186085
31,0,0,5,0,-6.11941532398177,-6.02104336856312,-5.9563718457209
