,p,q,P,Q,AIC,BIC,AICc
1,0,0,0,0,-6.12736057722153,-5.86503536277178,-3.7477571777881
2,0,0,0,1,-6.12736057722153,-5.86503536277178,-3.7477571777881
3,0,0,0,2,-6.27213025821493,-6.20654895460249,-6.23978524473784
4,0,0,0,3,-6.26663104600832,-6.19011952512714,-6.20176618114345
5,0,0,0,4,-6.26098541810919,-6.17354367995927,-6.15258433409835
6,0,0,0,5,-6.25551673066106,-6.15714477524241,-6.09247325240019
7,0,0,1,0,-6.32995098240799,-6.2752998960643,-6.31919829423595
8,0,0,1,1,-6.35736249535191,-6.29178119173947,-6.32501748187482
9,0,0,1,2,-6.35781215672083,-6.28130063583965,-6.29294729185596
10,0,0,1,3,-6.34697856623215,-6.25953682808223,-6.23857748222131
11,0,0,1,4,-6.336428352118,-6.23805639669935,-6.17338487385713
12,0,0,1,5,-6.33426033773578,-6.22495816504839,-6.10537750394831
13,0,0,2,0,-6.33928344764272,-6.27370214403028,-6.30693843416563
14,0,0,2,1,-6.35227651994073,-6.27576499905956,-6.28741165507587
15,0,0,2,2,-6.35216246532682,-6.2647207271769,-6.24376138131598
16,0,0,2,3,-6.34132875341721,-6.24295679799856,-6.17828527515635
17,0,0,2,4,-6.33470410335769,-6.2254019306703,-6.10582126957023
18,0,0,2,5,-6.33019983722782,-6.20996744727168,-6.02418890826607
19,0,0,3,0,-6.3308837963815,-6.25437227550032,-6.26601893151663
20,0,0,3,1,-6.33870151684718,-6.25125977869726,-6.23030043283634
21,0,0,3,2,-6.3366132059137,-6.23824125049504,-6.17356972765283
22,0,0,3,3,-6.33567903869128,-6.22637686600389,-6.10679620490382
23,0,0,3,4,-6.33189338217032,-6.21166099221419,-6.02588245320857
24,0,0,3,5,-6.32861860801504,-6.19745600079016,-5.93409806006983
25,0,0,4,0,-6.34436936037197,-6.25692762222205,-6.23596827636113
26,0,0,4,1,-6.32175156049103,-6.22337960507238,-6.15870808223016
27,0,0,4,2,-6.32137286293042,-6.21207069024303,-6.09249002914296
28,0,0,4,3,-6.32853780257543,-6.2083054126193,-6.02252687361368
29,0,0,4,4,-6.32631552043575,-6.19515291321088,-5.93179497249055
30,0,0,4,5,-6.32298544403831,-6.1808926195447,-5.82847994953282
31,0,0,5,0,-6.33945159706341,-6.24107964164476,-6.17640811880254
32,0,0,5,1,-6.31638567110992,-6.20708349842253,-6.08750283732246
33,0,0,5,2,-6.31483362456785,-6.19460123461171,-6.0088226956061
34,0,0,5,3,-6.32136826720767,-6.1902056599828,-5.92684771926247
35,0,0,5,4,-6.31896113054826,-6.17686830605465,-5.82445563604276
36,0,0,5,5,-6.31733572991629,-6.16431268815394,-5.71127512385569
37,0,1,0,0,-6.31733572991629,-6.16431268815394,-5.71127512385569
38,0,1,0,1,-6.272051805291,-6.20647050167857,-6.23970679181392
39,0,1,0,2,-6.26649126311674,-6.18997974223557,-6.20162639825188
40,0,1,0,3,-6.26104265873696,-6.17360092058704,-6.15264157472612
41,0,1,0,4,-6.25436965233701,-6.15599769691836,-6.09132617407614
42,0,1,0,5,-6.25001746790228,-6.14071529521489,-6.02113463411482
43,0,1,1,0,-6.25001746790228,-6.14071529521489,-6.02113463411482
44,0,1,1,1,-6.35171305016931,-6.27520152928814,-6.28684818530445
45,0,1,1,2,-6.35229112259312,-6.26484938444321,-6.24389003858228
46,0,1,1,3,-6.34170573524936,-6.2433337798307,-6.17866225698849
47,0,1,1,4,-6.33121300959702,-6.22191083690963,-6.10233017580955
48,0,1,1,5,-6.32886873252982,-6.20863634257368,-6.02285780356807
49,0,1,2,0,-6.33378328330525,-6.25727176242407,-6.26891841844038
50,0,1,2,1,-6.3466271745382,-6.25918543638829,-6.23822609052736
51,0,1,2,2,-6.346641380185,-6.24826942476634,-6.18359790192413
52,0,1,2,3,-6.33605603977901,-6.22675386709161,-6.10717320599154
53,0,1,2,4,-6.32925066979032,-6.20901827983419,-6.02323974082857
54,0,1,2,5,-6.32478146271095,-6.19361885548608,-5.93026091476575
55,0,1,3,0,-6.32556325510003,-6.23812151695012,-6.21716217108919
56,0,1,3,1,-6.33305179212844,-6.23467983670979,-6.17000831386757
57,0,1,3,2,-6.33109352332334,-6.22179135063594,-6.10221068953587
58,0,1,3,3,-6.33040631695361,-6.21017392699748,-6.02439538799186
59,0,1,3,4,-6.32638078148221,-6.19521817425734,-5.93186023353701
60,0,1,3,5,-6.32305231790542,-6.1809594934118,-5.82854682339992
61,0,1,4,0,-6.33872623895312,-6.24035428353447,-6.17568276069225
62,0,1,4,1,-6.31611408223804,-6.20681190955064,-6.08723124845057
63,0,1,4,2,-6.31572320489546,-6.19549081493933,-6.00971227593371
64,0,1,4,3,-6.32295472470523,-6.19179211748036,-5.92843417676003
65,0,1,4,4,-6.32079299347398,-6.17870016898037,-5.82628749896849
66,0,1,4,5,-6.31741694490147,-6.16439390313912,-5.71135633884086
67,0,1,5,0,-6.33381477883117,-6.22451260614378,-6.10493194504371
68,0,1,5,1,-6.31073798220366,-6.19050559224753,-6.00472705324191
69,0,1,5,2,-6.30926835427247,-6.17810574704759,-5.91474780632726
