,p,q,P,Q,AIC,BIC,AICc
1,0,0,0,0,-5.7005486004516,-5.43822338600185,-3.32094520101817
2,0,0,0,1,-5.7005486004516,-5.43822338600185,-3.32094520101817
3,0,0,0,2,-5.90226090439135,-5.83654190059079,-5.86991589091427
4,0,0,0,3,-5.89674160823415,-5.82006943713349,-5.83187674336929
5,0,0,0,4,-5.89118023159915,-5.80355489319839,-5.78277914758831
6,0,0,0,5,-5.88571524461177,-5.78713673891092,-5.7226717663509
7,0,0,1,0,-5.91207968796433,-5.85731385146386,-5.90132699979229
8,0,0,1,1,-5.93479009621687,-5.86907109241631,-5.90244508273978
9,0,0,1,2,-5.9310121700752,-5.85433999897454,-5.86614730521033
10,0,0,1,3,-5.92077848933939,-5.83315315093864,-5.81237740532855
11,0,0,1,4,-5.91348068048488,-5.81490217478403,-5.75043720222401
12,0,0,1,5,-5.90903529583787,-5.79950362283692,-5.6801524620504
13,0,0,2,0,-5.9285591762327,-5.86284017243214,-5.89621416275561
14,0,0,2,1,-5.93104352421296,-5.8543713531123,-5.86617865934809
15,0,0,2,2,-5.92537774340451,-5.83775240500376,-5.81697665939367
16,0,0,2,3,-5.92350017942877,-5.82492167372792,-5.7604567011679
17,0,0,2,4,-5.91831741724486,-5.80878574424392,-5.68943458345739
18,0,0,2,5,-5.91109736640152,-5.79061252610048,-5.60508643743977
19,0,0,3,0,-5.92022519549176,-5.8435530243911,-5.85536033062689
20,0,0,3,1,-5.92334413525628,-5.83571879685553,-5.81494305124544
21,0,0,3,2,-5.92030243444062,-5.82172392873977,-5.75725895617975
22,0,0,3,3,-5.91783442136134,-5.80830274836039,-5.68895158757387
23,0,0,3,4,-5.91265168040147,-5.79216684010043,-5.60664075143972
24,0,0,3,5,-5.90543164670711,-5.77399363910598,-5.5109110987619
25,0,0,4,0,-5.92094675420976,-5.833321415809,-5.81254567019892
26,0,0,4,1,-5.91819044985507,-5.81961194415422,-5.7551469715942
27,0,0,4,2,-5.91274766242383,-5.80321598942289,-5.68386482863636
28,0,0,4,3,-5.90708193604124,-5.7865970957402,-5.60107100707949
29,0,0,4,4,-5.90742818508489,-5.77599017748376,-5.51290763713969
30,0,0,4,5,-5.90289766642703,-5.7605064915258,-5.40839217192154
31,0,0,5,0,-5.92738454165086,-5.82880603595001,-5.76434106338999
32,0,0,5,1,-5.92171882205318,-5.81218714905224,-5.69283598826572
33,0,0,5,2,-5.91605309942716,-5.79556825912613,-5.61004217046542
34,0,0,5,3,-5.91151435369103,-5.7800763460899,-5.51699380574582
35,0,0,5,4,-5.90910506850604,-5.76671389360481,-5.41459957400054
36,0,0,5,5,-5.91184835532379,-5.75850401312247,-5.30578774926319
37,0,1,0,0,-5.91184835532379,-5.75850401312247,-5.30578774926319
38,0,1,0,1,-5.91184835532379,-5.75850401312247,-5.30578774926319
39,0,1,0,2,-5.90575260675329,-5.82908043565263,-5.84088774188843
40,0,1,0,3,-5.90023185723833,-5.81260651883757,-5.79183077322749
41,0,1,0,4,-5.89465797714339,-5.79607947144254,-5.73161449888252
42,0,1,0,5,-5.88927826676142,-5.77974659376048,-5.66039543297395
43,0,1,1,0,-5.91884347858363,-5.85312447478306,-5.88649846510654
44,0,1,1,1,-5.94084928425283,-5.86417711315217,-5.87598441938796
45,0,1,1,2,-5.93694681840702,-5.84932148000626,-5.82854573439618
46,0,1,1,3,-5.92695848342089,-5.82837997772004,-5.76391500516002
47,0,1,1,4,-5.92047975103832,-5.81094807803737,-5.69159691725085
48,0,1,1,5,-5.91633815353629,-5.79585331323525,-5.61032722457454
49,0,1,2,0,-5.93464663899853,-5.85797446789787,-5.86978177413366
50,0,1,2,1,-5.93710307641405,-5.8494777380133,-5.82870199240321
51,0,1,2,2,-5.93251216494537,-5.83393365924453,-5.76946868668451
52,0,1,2,3,-5.92671897753525,-5.8171873045343,-5.69783614374778
53,0,1,2,4,-5.92601542497681,-5.80553058467577,-5.62000449601506
54,0,1,2,5,-5.91945194812481,-5.78801394052368,-5.5249314001796
55,0,1,3,0,-5.92684914516221,-5.83922380676145,-5.81844806115137
56,0,1,3,1,-5.9293660955141,-5.83078758981325,-5.76632261725323
57,0,1,3,2,-5.92672160022914,-5.81718992722819,-5.69783876644167
58,0,1,3,3,-5.9248951687049,-5.80441032840386,-5.61888423974315
59,0,1,3,4,-5.92034970745454,-5.78891169985341,-5.52582915950933
60,0,1,3,5,-5.9137862193492,-5.77139504444798,-5.41928072484371
61,0,1,4,0,-5.92868317209981,-5.83010466639896,-5.76563969383894
62,0,1,4,1,-5.92596837090952,-5.81643669790858,-5.69708553712206
63,0,1,4,2,-5.92030285062486,-5.79981801032382,-5.61429192166311
64,0,1,4,3,-5.91988099564998,-5.78844298804885,-5.52536044770478
65,0,1,4,4,-5.91535596233789,-5.77296478743667,-5.4208504678324
66,0,1,4,5,-5.90885925634868,-5.75551491414736,-5.30279865028807
67,0,1,5,0,-5.93369214289138,-5.82416046989044,-5.70480930910391
68,0,1,5,1,-5.92802642455637,-5.80754158425533,-5.62201549559462
69,0,1,5,2,-5.92236070165638,-5.79092269405525,-5.52784015371118
70,0,1,5,3,-5.91841824804139,-5.77602707314017,-5.4239127535359
71,0,1,5,4,-5.91579285767481,-5.76244851547349,-5.30973225161421
72,0,1,5,5,-5.91012712841173,-5.74582961891032,-5.18084536045593
