Date,Open,High,Low,Close
24 Sep 2021,17897.45,17947.65,17819.4,17853.2
23 Sep 2021,17670.85,17843.9,17646.55,17822.95
22 Sep 2021,17580.9,17610.45,17524,17546.65
21 Sep 2021,17450.5,17578.35,17326.1,17562
20 Sep 2021,17443.85,17622.75,17361.8,17396.9
17 Sep 2021,17709.65,17792.95,17537.65,17585.15
16 Sep 2021,17539.2,17644.6,17510.45,17629.5
15 Sep 2021,17387.65,17532.7,17386.9,17519.45
14 Sep 2021,17420.35,17438.55,17367.05,17380
13 Sep 2021,17363.55,17378.35,17269.15,17355.3
09 Sep 2021,17312.85,17379.65,17302.7,17369.25
08 Sep 2021,17375.75,17383.4,17254.2,17353.5
07 Sep 2021,17401.55,17436.5,17287,17362.1
06 Sep 2021,17399.35,17429.55,17345.55,17377.8
03 Sep 2021,17262.45,17340.1,17212.2,17323.6
02 Sep 2021,17095.4,17245.5,17059.7,17234.15
01 Sep 2021,17185.6,17225.75,17055.05,17076.25
31 Aug 2021,16947.5,17153.5,16915.85,17132.2
30 Aug 2021,16775.85,16951.5,16764.85,16931.05
27 Aug 2021,16642.55,16722.05,16565.6,16705.2
26 Aug 2021,16627.95,16683.7,16603.4,16636.9
25 Aug 2021,16654,16712.45,16617.5,16634.65
24 Aug 2021,16561.4,16647.1,16495.3,16624.6
23 Aug 2021,16592.25,16592.5,16395.7,16496.45
20 Aug 2021,16382.5,16509.55,16376.05,16450.5
18 Aug 2021,16691.95,16701.85,16535.85,16568.85
17 Aug 2021,16545.25,16628.55,16495.4,16614.6
16 Aug 2021,16518.4,16589.4,16480.75,16563.05
13 Aug 2021,16385.7,16543.6,16376.3,16529.1
12 Aug 2021,16303.65,16375.5,16286.9,16364.4
11 Aug 2021,16327.3,16338.75,16162.55,16282.25
10 Aug 2021,16274.8,16359.25,16202.25,16280.1
09 Aug 2021,16281.35,16320.75,16179.05,16258.25
06 Aug 2021,16304.4,16336.75,16223.3,16238.2
05 Aug 2021,16288.95,16349.45,16210.3,16294.6
