Date,Open,High,Low,Close
24 Sep 2021,8315.85,8332.35,8146.35,8184.1
23 Sep 2021,8245.35,8294.8,8232.05,8271.65
22 Sep 2021,8007.1,8198.5,8002.05,8167.35
21 Sep 2021,7905.05,7964.3,7797.45,7949.45
20 Sep 2021,8030.45,8099.95,7863.4,7886.9
17 Sep 2021,8236.45,8245,8014.05,8091.6
16 Sep 2021,8157.45,8194.95,8098.05,8189
15 Sep 2021,8041.1,8129.7,8035.75,8124.15
14 Sep 2021,7913.6,8029.6,7907.4,8017.2
13 Sep 2021,7833.6,7872.05,7789.85,7864.15
09 Sep 2021,7790.3,7836.4,7777.5,7829
08 Sep 2021,7804.7,7840.55,7747,7808.05
07 Sep 2021,7782.95,7804.4,7688.05,7774.7
06 Sep 2021,7771.2,7803.1,7746.8,7757.75
03 Sep 2021,7730.05,7771.15,7679.65,7733.8
02 Sep 2021,7603.05,7697.85,7586.85,7690
01 Sep 2021,7538.15,7594.3,7489.05,7585.15
31 Aug 2021,7519.85,7542.45,7436.1,7502.95
30 Aug 2021,7387.55,7510.9,7385.4,7501.1
27 Aug 2021,7305.9,7379.65,7286.25,7357.95
26 Aug 2021,7320.35,7355.45,7266.1,7291.55
25 Aug 2021,7338.45,7364.3,7283.5,7309.85
24 Aug 2021,7211.6,7324.55,7198.95,7315.45
23 Aug 2021,7310.3,7333,7118.9,7186.8
20 Aug 2021,7385.65,7422.15,7218.05,7238.4
18 Aug 2021,7489.3,7510.85,7449.1,7465.1
17 Aug 2021,7485.45,7502.9,7388.95,7462.6
16 Aug 2021,7516.05,7535.1,7474.35,7485.65
13 Aug 2021,7573.8,7574.05,7496.9,7514.65
12 Aug 2021,7491.65,7573.25,7483.75,7560.65
11 Aug 2021,7470.2,7493.55,7311.15,7478.1
10 Aug 2021,7612.45,7619.6,7400.75,7458.4
09 Aug 2021,7680.95,7691,7544.85,7584.05
06 Aug 2021,7712.3,7753.25,7675,7683
05 Aug 2021,7698,7703.4,7598.55,7694.1
04 Aug 2021,7807.4,7822,7673.65,7686.05
03 Aug 2021,7790.05,7803.8,7742.35,7778.55
02 Aug 2021,7704.1,7785.3,7688.05,7778.85
30 Jul 2021,7578.15,7705,7564.45,7658.4
29 Jul 2021,7511.45,7567.8,7501.15,7553.85
28 Jul 2021,7511.8,7515.5,7377.25,7470.9
27 Jul 2021,7577.55,7609.45,7475.65,7495.95
26 Jul 2021,7592.6,7614.5,7537.55,7549.05
23 Jul 2021,7618.05,7639,7564.7,7574.35
22 Jul 2021,7564.95,7600.95,7560.3,7588.25
20 Jul 2021,7642.9,7647.25,7462.15,7503.4
19 Jul 2021,7664.4,7693.2,7580.35,7630.55
16 Jul 2021,7701.1,7718.2,7668,7707.95
15 Jul 2021,7667.25,7685.6,7654.85,7672.2
14 Jul 2021,7657.5,7672.5,7642.05,7654.5
13 Jul 2021,7663,7663.8,7613.25,7641.1
12 Jul 2021,7635.75,7669.35,7600.2,7623
09 Jul 2021,7521.9,7591.2,7489.55,7583.8
08 Jul 2021,7589.6,7624.1,7490.45,7523.6
