Date,Open,High,Low,Close
24 Sep 2021,43596.05,43648.35,42959.85,43071.65
23 Sep 2021,43212.1,43478.6,43137.5,43437.7
22 Sep 2021,42807.6,43066.3,42754.3,42957.55
21 Sep 2021,42296.4,42766.35,41936.35,42725.15
20 Sep 2021,42797.65,43030.45,42262.8,42354.55
17 Sep 2021,43573.5,43633.3,42920.05,43157.25
16 Sep 2021,43406,43562.6,43307.35,43514.6
15 Sep 2021,43187.05,43268.05,43098.2,43212.1
14 Sep 2021,43082,43181.95,42948.65,43041.95
13 Sep 2021,42814.35,42958.3,42637.75,42907.5
09 Sep 2021,42578.2,42799.15,42508.65,42774.5
08 Sep 2021,42420.25,42637.55,42272.1,42588.85
07 Sep 2021,42626.95,42695.7,42186.85,42357.7
06 Sep 2021,42788,42790.85,42467.4,42503.5
03 Sep 2021,42521.7,42591.65,42288.75,42559.1
02 Sep 2021,41950,42345.7,41876.25,42315.65
01 Sep 2021,41790.1,41939,41595.3,41887.55
31 Aug 2021,41104.45,41639.6,40992.85,41585.45
30 Aug 2021,40594.9,41052.15,40585.85,41028.5
27 Aug 2021,40090.35,40427,39936.2,40403.9
26 Aug 2021,39932.5,40055.35,39733.85,39904.05
25 Aug 2021,39777.2,39842.05,39645.95,39784.95
24 Aug 2021,39460.35,39655.6,39233.3,39601.8
23 Aug 2021,39697.75,39770.6,39022.3,39220.15
20 Aug 2021,39660.4,39933.7,39228.95,39381.85
18 Aug 2021,39827.55,40080.15,39799.6,39973.65
17 Aug 2021,39568.8,39803.15,39382.95,39755.2
16 Aug 2021,39543.8,39584.3,39381.95,39548.05
13 Aug 2021,39529.3,39666.75,39344.85,39500.85
12 Aug 2021,39389.6,39488.45,39188.05,39451.8
11 Aug 2021,39436.6,39497,38634.35,39331.15
10 Aug 2021,39698.05,39750.45,39099.85,39420.4
09 Aug 2021,39931.7,39931.7,39402.5,39579.7
06 Aug 2021,39757.75,39861.65,39685.55,39762.9
05 Aug 2021,39861.35,39861.35,39401.1,39678.85
04 Aug 2021,40209.25,40273.4,39698.85,39765.85
03 Aug 2021,39904.75,40104.6,39828.1,40053.1
02 Aug 2021,39607.6,39757.2,39485.95,39721.35
30 Jul 2021,39347,39587.4,39210,39363.65
29 Jul 2021,39346.15,39430.8,39116.3,39196.25
28 Jul 2021,39213.2,39213.2,38659.85,39174.85
27 Jul 2021,39454.65,39572.2,39007.3,39105.4
26 Jul 2021,39371.8,39459.75,39167.95,39351.3
23 Jul 2021,39444.3,39521.85,39122,39312.35
22 Jul 2021,39001.55,39410.9,38956.25,39359.75
20 Jul 2021,38914.4,38936.25,38413.85,38676.2
19 Jul 2021,39020.35,39234.7,38760.05,38934.75
16 Jul 2021,39082.75,39217.25,38982.1,39188.15
15 Jul 2021,38987.2,39066.65,38930.8,39001.85
14 Jul 2021,38965.4,38973.35,38801.65,38874
13 Jul 2021,39116.05,39120.1,38804.7,38873.5
12 Jul 2021,39091.8,39148.8,38894.9,38949.35
09 Jul 2021,38871.45,38956.65,38794.15,38919.95
08 Jul 2021,39008.55,39184.7,38727.55,38855.55
07 Jul 2021,38765.2,39012.95,38625,38936.35
06 Jul 2021,38737.3,39070.25,38708.8,38772.75
05 Jul 2021,38713.6,38827.05,38643.7,38776
02 Jul 2021,38681.8,38726.7,38443.55,38533.85
01 Jul 2021,38588.3,38727,38524.55,38642.25
30 Jun 2021,38759.15,38846.85,38459,38513.25
29 Jun 2021,38779.3,39015.3,38593.25,38678.15
28 Jun 2021,38724.9,38874.3,38602.25,38754.35
25 Jun 2021,38436.5,38647.25,38341.9,38603.45
24 Jun 2021,38557.2,38582.2,38268.65,38340.9
23 Jun 2021,39048.75,39075.25,38482.35,38525
22 Jun 2021,38888.15,39106.55,38783.65,38839.05
21 Jun 2021,37872.85,38685.9,37769.1,38648.95
18 Jun 2021,38478.5,38554.9,37479.85,38315.15
17 Jun 2021,38496.3,38872.65,38352.05,38519.3
16 Jun 2021,39168.1,39310.15,38786.5,38883.1
15 Jun 2021,39246.9,39351.6,39172.35,39248.75
14 Jun 2021,39046.65,39191.25,38290.25,39121.95
11 Jun 2021,39347.45,39399.6,39007.35,39294.85
10 Jun 2021,38943.2,39235.8,38885.25,39207.65
09 Jun 2021,39200.2,39364.05,38487.45,38734.85
08 Jun 2021,39053.5,39150.6,38781.6,39096.75
07 Jun 2021,39084.3,39118.85,38904.5,38948.05
04 Jun 2021,38872.15,38945.1,38696.4,38914.5
03 Jun 2021,38587.9,38790.9,38518.55,38736.35
02 Jun 2021,37714.4,38430.1,37710.05,38379.95
01 Jun 2021,37872.45,37935.05,37450.8,37688.1
31 May 2021,37515.8,37791.65,37390.2,37728.55
28 May 2021,37533,37658.8,37341.35,37394.45
27 May 2021,37363.3,37448.9,37125.45,37366.5
26 May 2021,37359.5,37374.8,37105.3,37192.85
25 May 2021,37634.35,37670.25,37152.3,37239.8
21 May 2021,37231.85,37312.9,37070.6,37104.85
20 May 2021,37047.35,37129.25,36762.2,36946.6
19 May 2021,36815.6,37041.85,36717.6,36967.3
18 May 2021,36609.9,36781,36555.85,36726.15
17 May 2021,35988.3,36278.1,35806.85,36242.35
14 May 2021,36486.95,36489.5,35627.45,35790.8
12 May 2021,36484.8,36565.05,36164.15,36308.65
11 May 2021,36005.25,36310.25,35821.15,36263.4
10 May 2021,35987.05,36222.1,35974,36190.15
07 May 2021,35933.95,35947.9,35760.25,35816.95
06 May 2021,35687,35768.8,35437.4,35697.7
05 May 2021,35185.55,35550.2,35024.75,35496.2
04 May 2021,35298,35334,34819.85,34921.45
03 May 2021,34526.25,35094.5,34416.25,35059.55
30 Apr 2021,34746.35,35129.3,34676.35,34759.2
29 Apr 2021,35160.15,35269.65,34818.1,34926.2
28 Apr 2021,34952.5,35036.3,34861.75,34938.15
27 Apr 2021,34605.95,34777.35,34558.3,34724.65
26 Apr 2021,34520.55,34585.05,34366,34457.65
23 Apr 2021,34196.8,34483.2,34078.8,34284.85
22 Apr 2021,34132.45,34327.2,33971.7,34242.85
20 Apr 2021,34418.95,34636.85,33928.65,34199.4
