Date,Open,High,Low,Close
24 Sep 2021,5405.9,5413.75,5345.2,5373.2
23 Sep 2021,5363.3,5383.95,5357.95,5365.85
22 Sep 2021,5295.8,5345.45,5295.05,5325.05
21 Sep 2021,5277.3,5293.35,5185.95,5265
20 Sep 2021,5336.2,5381.15,5271.5,5280.65
17 Sep 2021,5457.3,5460.2,5338.55,5376.6
16 Sep 2021,5415.75,5459.7,5396.15,5416.95
15 Sep 2021,5380,5397.15,5360.85,5389.85
14 Sep 2021,5391.85,5400.15,5351.55,5362.7
13 Sep 2021,5345.15,5356.5,5315.3,5352.85
09 Sep 2021,5297.1,5327.2,5292.2,5321.45
08 Sep 2021,5273.85,5304.8,5254.15,5289.55
07 Sep 2021,5291.35,5295.05,5218.45,5252.75
06 Sep 2021,5234.05,5277.1,5233.2,5263
03 Sep 2021,5207.15,5226.45,5195.65,5207.95
02 Sep 2021,5146.2,5186.15,5145,5183.5
01 Sep 2021,5163.55,5170.5,5107.55,5131.25
31 Aug 2021,5119.25,5144.05,5100.15,5135.35
30 Aug 2021,5058.75,5115.8,5054.85,5100.9
27 Aug 2021,4999.05,5039.25,4973.55,5031
26 Aug 2021,4964.45,4990.85,4954.8,4974.15
25 Aug 2021,4939.95,4973.75,4929.35,4948.85
24 Aug 2021,4818.1,4922.75,4798.55,4914.55
23 Aug 2021,4963.55,4989.95,4772.95,4820.55
20 Aug 2021,5009.65,5039.15,4914.25,4928.35
16 Aug 2021,5111.95,5116.35,5070.65,5077.9
13 Aug 2021,5163.45,5172.45,5097.85,5109.85
12 Aug 2021,5062.15,5151.15,5053,5142.9
11 Aug 2021,5083.05,5105.95,4915,5038.45
10 Aug 2021,5182.8,5198,5009.7,5068.6
09 Aug 2021,5256.1,5258.75,5157.9,5185.8
06 Aug 2021,5261.95,5292.9,5239.05,5243.75
05 Aug 2021,5292.55,5296.5,5192.2,5259.35
04 Aug 2021,5369.5,5374.75,5269.8,5276.25
03 Aug 2021,5366.55,5376.4,5329.75,5335.4
02 Aug 2021,5329.8,5349.75,5314.6,5343.35
30 Jul 2021,5282.75,5319.7,5264.45,5292.5
29 Jul 2021,5243.5,5272.45,5220.65,5268.5
28 Jul 2021,5295.4,5310.35,5169.9,5235.35
27 Jul 2021,5286.15,5333.75,5237.75,5268.65
26 Jul 2021,5258.2,5279.9,5236.9,5262.6
23 Jul 2021,5315.75,5336.95,5250.55,5257.7
22 Jul 2021,5295.3,5326,5289.75,5302.85
20 Jul 2021,5316.05,5343.2,5176.6,5231.45
19 Jul 2021,5290.05,5358.2,5260.2,5315.7
16 Jul 2021,5261,5338.1,5260,5327.25
15 Jul 2021,5162.8,5237.9,5162,5231
14 Jul 2021,5101.7,5154.9,5095.2,5147.55
13 Jul 2021,5073.8,5101.1,5056.85,5093
12 Jul 2021,5064.1,5072.45,5017.8,5033.15
