"","p","q","P","Q","AIC","BIC","AICc"
"1","0","0","0","0","-6.15404812771021","-6.00715085187117","-5.42476635975441"
"2","0","0","0","1","-6.10877166086656","-6.0563083480669","-6.09801897269451"
"3","0","0","0","2","-6.04325602603524","-5.98030005067565","-6.01091101255815"
"4","0","0","0","3","-6.04325602603524","-5.98030005067565","-6.01091101255815"
"5","0","0","0","4","-6.03289426144039","-5.94895296096093","-5.92449317742955"
"6","0","0","0","5","-6.03553339458067","-5.94109943154129","-5.8724899163198"
"7","0","0","1","0","-6.03553339458067","-5.94109943154129","-5.8724899163198"
"8","0","0","1","1","-6.2315939047858","-6.15814526686627","-6.19924889130871"
"9","0","0","1","2","-6.22333925273492","-6.13939795225547","-6.15847438787006"
"10","0","0","1","3","-6.20843206737709","-6.1139981043377","-6.10003098336625"
"11","0","0","1","4","-6.21768924978295","-6.11276262418363","-6.05464577152208"
"12","0","0","1","5","-6.21901740767528","-6.10359811951603","-5.99013457388781"
"13","0","0","2","0","-6.21901740767528","-6.10359811951603","-5.99013457388781"
"14","0","0","2","1","-6.2180646649897","-6.12363070195031","-6.15319980012484"
"15","0","0","2","2","-6.21709580174714","-6.11216917614782","-6.1086947177363"
"16","0","0","2","3","-6.20215488852707","-6.08673560036782","-6.0391114102662"
"17","0","0","2","4","-6.20903331253819","-6.08312136181901","-5.98015047875072"
"18","0","0","2","5","-6.25544303210872","-6.1190384188296","-5.94943210314697"
"19","0","0","3","0","-6.25544303210872","-6.1190384188296","-5.94943210314697"
"20","0","0","3","1","-6.21037733555185","-6.09495804739259","-6.10197625154101"
"21","0","0","3","2","-6.20454797727065","-6.07863602655147","-6.04150449900978"
"22","0","0","3","3","-6.20425234241633","-6.06784772913721","-5.97536950862886"
"23","0","0","3","4","-6.21793476870214","-6.0710374928631","-5.91192383974039"
"24","0","0","3","5","-6.22699189945632","-6.06960196105734","-5.83247135151112"
"25","0","0","4","0","-6.22699189945632","-6.06960196105734","-5.83247135151112"
